Region,Area (km^2),Population (T),Catholics (T).x,Eccl territories,Parishes,Mission Stations w/ ResP,Mission Stations w/o ResP,Other centres,PastCen Total,Year,Sees Patriarchal,Sees Metropolitan,Sees Archiepiscopal,Sees Episcopal,Territorial Prelatures,Territorial Abbacies,Exarchatus et Ordinariatus,Military Ordinariates,Apostolic Vicariates,Apostolic Prefectures,Apostolic Administrations,Independent Missions,Patriarchal Exarchate,Total.x,Par w/ priest Dioc,Par w/ priest Relig,Par admin by other P,Par e/t permanent Dn,Par e/t non-P men Relig,Par e/t women Relig,Par e/t lay people,Par vacant,Inhabitants per km^2,Catholics pH Inh,Avg area of Ecc Territories,Inhabitants per PastCen,Catholics per PastCen,Tot Pop (T),Inh per km^2,Catholics (T).y,Cath per 100 Ihn,PastCen A,PastCen avg per Dio,Inh per PastCen,Cath per PastCen,Parishes A,Parishes P,Mission Stations A,Mission Stations P,Other centres A,Other centres P,Tot A,Tot P,Bishops.x,Priests Dioc,Priests Relig,Permanent Dn Dioc,Permanent Dn Relig,Professed Relig men non-P,Women Relig,Lay members mens SecInst,Members womens SecInst,Lay missionaries,Catechists,Inh per P,Cath per P,P and Bp as pct of TotWf for PastAct,Diocesan Bishops,Titular Bishops,Bishops Tot,Sec Cardinals,Sec Patriarchs,Sec Archbishops,Sec Bishops,Sec Tot,Relig Cardinals,Relig Patriarchs,Relig Archbishops,Relig Bishops,Relig Tot,Diocesan,Coadjutor or auxhiliary,Office in Roman Curia,Other situations,w/o office,Total.y,Inc Tot,Inc resident abroad,Pres Tot,Pres inc in Dio abroad,Difference inc pres,Situation Jan1,Var ordinations,Var deaths,Var defections,Var other reasons,Var balance,Situation Dec31,Ordinations.x,Deaths.x,Defections.x,Balance.x,Bp native tcor,Bpforeign tcor,Bp Tot,Ordinations.y,Deaths.y,Defections.y,Balance.y,CenDiocC SecSc Seminaries,CenDiocC SecSc Residences,CenDiocC PhTh Seminaries,CenDiocC PhTh Residences,CenReligC SecSc Seminaries,CenReligC SecSc Residences,CenReligC PhTh Seminaries,CenReligC PhTh Residences,SecSc students for DiocC,SecSc students for ReligC,SecSc students Tot,Sudents Ph for DiocC,Sudents Ph for ReligC,Sudents Ph Tot,Students Th for DiocC,Students Th for ReligC,Students Th Tot,Sudents PhTh for DiocC,Sudents PhTh for ReligC,Sudents PhTh Tot,PhTh students pHT Inh,PhTh students pHT Cath,PhTh students per 100 P,Students Ph,Students Th,Students Tot,Kindergartens.x,Kindergartens Students.x,Primary or elementary schools.x,Primary or elementary schools Students.x,SecSc junior and senior.x,SecSc Students,Higher institutes and universities Students,HI and Uni Students in Uni EccSt,HI and Uni Students Uni other,Kindergartens.y,Kindergartens Students.y,Primary or elementary schools.y,Primary or elementary schools Students.y,SecSc junior and senior.y,SecSc junior and senior Students,Baptisms up to 7,Baptisms over 7,Baptisms Tot,Baptisms up to 7 pT Cath,Marriages Cath,Marriages Cath-Non-Cath,Mariages Tot (A),Marriages Tot (pT Cath),Confirmations (A),Confirmations (pT Cath),First Communiones (A),First Communiones (pT Cath),Hospitals,Dispensaries,Leprosaria,Homes for OCiIH,Orphaneges,Nurseries,Matrimonial Advice Centres,Special Centres for SocReEd,Other Institutions,Total,Houses.x,Bishops.y,Priests,Permanent deacons,Seminarians,Non-Priest Relig,Novices Seminarians,Novices Others,Postulants.x,Houses.y,Postulants.y,Novices.x,Professed Relig Temp Vow.x,Professed Relig Perp Vow,Houses,Postulants,Novices.y,Professed Relig Temp Vow.y,Prefessed Relig Perp Vow,Candidates app,Members it,Members id,Lay people aw/i,FI pending BOY.x,FI introduced DY.x,FI completed DY.x,FI pending EOY.x,SI pending BOY.x,SI introduced DY.x,SI completed DY.x,SI pending EOY.x,FI pending BOY.y,FI introduced DY.y,FI completed DY.y,FI pending EOY.y,SI pending BOY.y,SI introduced DY.y,SI completed DY.y,SI pending EOY.y,FI pending BOY,FI introduced DY,FI completed DY,FI pending EOY,SI pending BOY,SI introduced DY,SI completed DY,SI pending EOY,Anm: Zahlen der ertsn Spalte h�ngen an den L�ndernamen,FI sentence contrary to nullity,FI peremption.x,FI renunciation,FI Tot.x,SI decree of confirmation.x,SI sentence in favour of nullity.x,SI sentence contrary to nullity,SI peremption.x,SI renunciation,SI Tot.x,FI sentence in favour of nullity.x,FI referred to ordinary process.x,FI peremption.y,FI renunciations.x,FI Tot.y,SI sentence in favour of nullity.y,SI referred to the ordinary process.x,SI peremption.y,SI renunciations.x,SI Tot.y,FI sentence in favour of nullity.y,FI referred to ordinary process.y,FI peremption,FI renunciations.y,FI Tot,SI decree of confirmation.y,SI referred to the ordinary process.y,SI peremption,SI renunciations.y,SI Tot,Pending BOY.x,Introduced DY.x,Acts transmitted to the Apostolic See accompanied by a favourable votum,Acts transmitted to the Apostolic See accompanied by an unfavourable votum,Closed for other reasons,Pending EOY.x,Pending BOY.y,Introduced DY.y,Closed DY,Pending EOY.y,Cases dec null np,Cases dec null pp,Cases dec null tp,Processes disp marr np,Processes disp marr pp,Processes disp marr tp,Processes pres death np,Processes pres death pp,Processes pres death tp,Number of ecclesiastical territories - absolute figures,Number of ecclesiastical territories - index numbers (base 2013 = 100),Average diocesan area (in km^2),Pastoral density index (number of inhabitants per pastoral centre),Number of pastoral centres - absolute figures,Number of pastoral centres - index numbers (base 2013 = 100),Number of parishes - absolute figures,Number of parishes - index numbers (base 2013 = 100),Number of parishes administered by a priest,Number of parishes entrusted to non-priests,Number of parishes completely vacant,Number of mission stations,Number of bishops present,Number of diocesan priests present,Number of ordinations of diocesan priests,Number of deaths of diocesan priests,Number of defections of diocesan priests,Number of religious priests present,Number of lay men religious (with temporary and perpetual vows),Number of temporarily and perpetually professed women religious,Number of priests (diocesan and religious) present - absolute figures,Number of priests (diocesan and religious) present - index numbers (base 2013 = 100),Index of pastoral workload - Catholics per priest (diocesan and religious),Index of pastoral workload - Inhabitants per priest (diocesan and religious),Number of diocesan priests present - absolute figures,Number of diocesan priests present - index numbers (base 2013 = 100),Number of diocesan priests incardinated - absolute figures,Number of diocesan priests incardinated - index numbers (base 2013 = 100),Number of religious priests present - absolute figures,Number of religious priests present - index numbers (base 2013 = 100),Number of permanent deacons (diocesan and religious) - absolute figures,Number of permanent deacons (diocesan and religious) - index numbers (base 2013 = 100),Number of lay men religious - absolute figures,Number of lay men religious - index numbers (base 2013 = 100),Number of temporarily and perpetually professed women religious - absolute figures,Number of temporarily and perpetually professed women religious - index numbers (base 2013 = 100),Number of candidates for priesthood in the philosophy and theology centres (diocesan and religious),Number of candidates for priesthood in the philosophy and theology diocesan centres,Number of candidates for priesthood in the philosophy and theology religious centres,Number of candidates for priesthood in the secondary-school centres (diocesan and religious),"Training centres for priesthood, for philosophy and theology and for secondary-school students - diocesan and religious","Training centres for priesthood, for philosophy and theology and for secondary-school students - diocesan","Training centres for priesthood, for philosophy and theology and for secondary-school students - religious","Training centres for priesthood, for philosophy and theology students (diocesan and religious) - seminaries and residences","Training centres for priesthood, for philosophy and theology students (diocesan and religious) - seminaries","Training centres for priesthood, for philosophy and theology students (diocesan and religious) - residences","Training centres for priesthood, for secondary-school students (diocesan and religious) - seminaries and residences","Training centres for priesthood, for secondary-school students (diocesan and religious) - seminaries","Training centres for priesthood, for secondary-school students (diocesan and religious) -residences","Diocesan training centres for priesthood, for philosophy and theology and for secondary-school students - seminaries","Diocesan training centres for priesthood, for philosophy and theology and for secondary-school students - residences","Religious training centres for priesthood, for philosophy and theology and for secondary-school students - seminaries","Religious training centres for priesthood, for philosophy and theology and for secondary-school students - residences",Number of candidates for priesthood in the philosophy and theology centres (diocesan and religious) - absolute figures,Number of candidates for priesthood in the philosophy and theology centres (diocesan and religious) - index numbers (base 2013 = 100),Number of candidates for priesthood in the secondary-school centres (diocesan and religious) - absolute figures,Number of candidates for priesthood in the secondary-school centres (diocesan and religious) - index numbers (base 2013 = 100),Number of candidates for priesthood in diocesan centres - philosophy and theology,Number of candidates for priesthood in diocesan centres - secondary schools,Number of candidates for priesthood in religious centres - philosophy and theology,Number of candidates for priesthood in religious centres - secondary schools,"Vocation rate (in the diocesan and religious centres) - number of philosophy and theology and secondary-school students per 100,000 Catholics","Vocation rate (in the diocesan and religious centres) - number of philosophy and theology and secondary-school students per 100,000 inhabitants","Vocation rate (in the diocesan and religious centres) - number of philosophy and theology students per 100,000 Catholics",Ordination rate in diocesan centres (priestly ordinations per 100 philosophy and theology students),Number of students in the diocesan philosophy and theology centres who left the seminary,Departure rate of students in the diocesan philosophy and theology centres (departures per 100 enrolled students),Percentage of people over seven years old among those receiving baptism,Percentage of marriages that are mixed marriages
Afghanistan,652090,32763,0.2,1,1,0,0,0,1,2022,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,50,0,652090,32763000,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,0,0,8,0,0,0,0,8190750,50,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,4,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,30250769,1384373,272423,551,19750,604,72691,8034,101079,2022,1,96,3,423,0,0,0,3,19,3,0,1,2,551,14996,3849,730,25,2,19,73,56,46,19.69,54902,13696,2695,1384373,46,272423,197,101079,183,13696,2695,19750,195,73295,725,8034,8,101079,100,740,37349,16310,457,42,9164,83190,97,1241,8686,478112,25799,5077,8.6,481,259,740,16,1,121,395,533,7,0,38,162,207,490,30,30,1,189,740,42701,6608,37349,1256,5352,41555,1697,331,66,-154,1146,42701,4.08,0.8,0.16,3.12,599,141,740,408,8,16,312,436,86,171,32,181,149,108,152,48045,7484,55529,10952,8313,19265,11571,3705,15276,22523,12018,34541,2.5,12.68,64.37,404,460,864,20675,2806110,44323,20597079,17237,6761658,181257,39171,244201,20675,2806110,44323,20597079,17237,6761658,2612346,1428438,4040784,9.6,317812,46109,363921,1.3,1662157,6.1,2039072,7.48,1604,5172,205,666,1156,2174,1465,257,1181,13880,4440,207,14298,30,7020,5474,2072,574,4286,174,246,157,418,1950,7787,5170,4193,10156,32229,237,246,475,334,4257,1329,1581,4005,73,28,26,75,86,136,103,119,7,1,4,4,212,132,119,225,0,1,1,0,1223,219,67,72,1581,15,11,0,0,0,26,102,1,0,0,103,4,0,0,0,4,97,5,12,5,119,1,0,0,0,1,42,32,12,5,16,41,13,7,9,11,474,261,943,6,7,4,3,3,3,551,1028,54902,13696,101079,104,19750,1247,19575,119,56,73295,740,37349,1697,331,66,16310,9164,83190,53659,1283,5077,25799,37349,1302,42701,1316,16310,1241,499,1169,9164,1087,83190,119,NA,22523,12018,55529,1315,725,590,463,279,184,852,617,235,607,118,269,301,34541,1238,55529,1051,22523,48045,12018,7434,3306,651,25,758,864,396,354,127
Africa Total,30250769,1384373,272423,551,19750,604,72691,8034,101079,2022,1,96,3,423,0,0,0,3,19,3,0,1,2,551,14996,3849,730,25,2,19,73,56,46,19.68,54902,13696,2695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740,37349,16310,457,42,9164,83190,97,1241,8686,478112,25799,5077,6.8,481,259,740,16,1,121,395,533,7,0,38,162,207,490,30,30,1,189,740,42701,6608,37349,1256,5352,41555,1697,331,66,-154,1146,42701,4.08,0.8,0.16,3.12,NA,NA,NA,NA,NA,NA,NA,436,86,171,32,181,149,108,152,48045,7484,55529,10952,8313,19265,11571,3705,15276,22523,12018,34541,2.5,12.68,64.37,404,460,864,20675,2806110,44323,20597079,17237,6761658,181257,39171,244201,NA,NA,NA,NA,NA,NA,2612346,1428438,4040784,9.6,317812,46109,363921,1.3,1662157,6.1,2039072,7.48,1604,5172,205,666,1156,2174,1465,257,1181,13880,4440,207,14298,30,7020,5474,2072,574,4286,174,246,157,418,1950,7787,5170,4193,10156,32229,237,246,475,334,4257,1329,1581,4005,73,28,26,75,86,136,103,119,7,1,4,4,212,132,119,225,0,1,1,0,1223,219,67,72,1581,15,11,0,0,0,26,102,1,0,0,103,4,0,0,0,4,97,5,12,5,119,1,0,0,0,1,42,32,12,5,16,41,13,7,9,11,474,261,943,6,7,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740,37349,1697,331,66,16310,9164,83190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,28748,2794,513,6,129,1,0,35,165,2022,0,2,0,3,0,0,0,0,0,0,1,0,0,6,57,45,24,0,0,3,0,0,97,18.36,4791,16933,3110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,59,95,0,0,17,434,0,0,37,148,18143,3332,20.6,5,6,11,0,0,3,3,6,0,0,2,3,5,6,0,3,0,2,11,51,8,59,16,-8,48,4,1,0,0,3,51,8.33,2.08,0,6.25,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,1,3,0,4,0,1,1,5,4,9,11,11,22,16,15,31,1.11,6.04,20.13,0,2,2,32,1740,13,3945,12,1903,0,0,2570,NA,NA,NA,NA,NA,NA,2299,1003,3302,4.5,791,47,838,1.6,2073,4.04,1543,3.01,1,27,0,24,7,16,8,4,6,93,32,5,79,0,7,12,0,3,0,2,1,1,1,14,94,5,3,23,334,0,0,0,0,41,46,17,70,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,17,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,59,4,1,0,95,17,434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,2381741,45898,9,4,30,0,0,5,35,2022,0,1,0,3,0,0,0,0,0,0,0,0,0,4,10,13,4,0,1,2,0,0,19,0.02,595435,1311371,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,20,46,0,0,21,121,0,0,16,0,695424,130,31.6,3,4,7,0,0,1,2,3,0,0,2,2,4,3,0,2,0,2,7,22,16,20,14,2,22,0,0,0,0,0,22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,1,2,3,0.01,34.84,4.55,1,0,1,0,0,4,273,1,358,0,0,3152,NA,NA,NA,NA,NA,NA,5,14,19,0.6,0,2,2,0,19,2.21,16,1.86,0,1,0,2,3,1,1,0,12,20,17,4,26,0,2,15,0,0,0,0,0,0,0,0,31,0,0,2,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,20,0,0,0,46,21,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,42070024,1038640,666209,1100,59764,506,17954,63497,141721,2022,0,198,1,804,30,0,10,13,40,1,1,2,0,1100,44968,7655,6367,265,15,178,165,151,25,64.14,36263,7329,4701,1038640,25,666209,641,141721,129,7329,4701,59764,422,18460,13,63497,448,141721,100,2000,84959,34186,32911,154,12914,141281,169,4912,351893,1534293,8717,5592,5.5,1008,992,2000,38,0,244,1199,1481,11,0,67,441,519,1035,242,31,2,690,2000,80765,2538,84959,6732,-4194,80789,1618,1385,336,79,-24,80765,2,1.71,0.42,-0.13,1639,361,2000,2,171,42,-13,484,131,545,155,222,185,320,391,6390,2906,9296,8921,4582,13503,10223,4012,14235,19144,8594,27738,2.67,4.16,23.28,1239,976,2215,15535,1282861,21490,5690274,11909,3485463,679213,133476,2331170,15535,1282861,21490,5690274,11909,3485453,4823796,722554,5546350,7.2,648352,48729,697081,1,3220068,4.83,3563839,5.35,1392,3433,39,3441,2226,2695,2561,1391,13582,30760,8502,519,30063,104,5071,7861,1101,347,2537,844,495,440,824,9837,19958,1760,1500,4447,95963,286,384,2900,5283,40172,25633,24504,41301,859,510,500,869,306,1928,1899,335,6,4,7,3,702,1162,1079,785,1,0,0,1,20981,1584,1352,587,24504,109,254,101,12,24,500,1718,147,17,17,1899,6,0,0,1,7,972,74,25,8,1079,0,0,0,0,0,125,98,73,0,63,87,16,3,5,14,9508,5882,10556,16,20,37,10,1,5,1100,1015,36263,7329,141721,100,59764,1024,58990,623,151,18460,2000,84959,1618,1385,336,34186,12914,141281,119145,968,5592,8717,84959,1019,80765,1016,34186,861,33065,1183,12914,807,141281,777,NA,19144,1381,1073,2433,1315,1118,1411,865,546,1022,706,316,1029,286,542,576,27738,80,9296,664,19144,6390,8594,2906,556,357,267,827,2215,1131,13,7
America Total,42070024,1038640,666209,1100,59764,506,17954,63497,141721,2022,0,198,1,804,30,0,10,13,40,1,1,2,0,1100,44968,7655,6367,265,15,178,165,151,25,64.14,36263,7329,4701,NA,NA,NA,NA,22981,86,16202,4020,20478,891,1491,65,1012,44,22981,100,2000,84959,34186,32911,154,12914,141281,169,4912,351893,1534293,8717,5592,5.5,1008,992,2000,38,0,244,1199,1481,11,0,67,441,519,1035,242,31,2,690,2000,80765,2538,84959,6732,-4194,80789,1618,1385,336,79,-24,80765,2,1.71,0.42,-0.13,490,99,589,128,291,25,-188,484,131,545,155,222,185,320,391,6390,2906,9296,8921,4582,13503,10223,4012,14235,19144,8594,27738,2.67,4.16,23.28,1239,976,2215,15535,1282861,21490,5690274,11909,3485463,679213,133476,2331170,4512,186452,6152,1524374,1739,919466,4823796,722554,5546350,7.2,648352,48729,697081,1,3220068,4.83,3563839,5.35,1392,3433,39,3441,2226,2695,2561,1391,13582,30760,8502,519,30063,104,5071,7861,1101,347,2537,844,495,440,824,9837,19958,1760,1500,4447,95963,286,384,2900,5283,40172,25633,24504,41301,859,510,500,869,306,1928,1899,335,6,4,7,3,702,1162,1079,785,1,0,0,1,20981,1584,1352,587,24504,109,254,101,12,24,500,1718,147,17,17,1899,6,0,0,1,7,972,74,25,8,1079,0,0,0,0,0,125,98,73,0,63,87,18,16,16,18,9508,5882,10556,16,20,37,10,1,5,265,989,72719,16202,22981,915,20478,911,20107,317,54,1491,2000,84959,1618,1385,336,34186,12914,141281,42513,879,2173,8758,30002,91,26822,885,12511,812,19600,104,40501,723,45691,699,NA,19144,5320,4352,231,106,125,194,101,93,37,15,22,73,33,43,82,4714,797,1073,1045,3333,402,1381,671,626,155,127,1043,339,101,NA,NA
American Samoa,199,55,12,1,29,0,0,0,29,2022,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16,2,0,9,0,0,0,2,278,20.8,199,1907,397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,18,2,14,0,3,2,0,0,5,21,2765,575,32.8,2,0,2,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,2,18,0,18,0,0,18,0,0,0,0,0,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,3,0,3,5.42,26.09,15,0,0,0,2,80,2,300,1,200,0,0,0,NA,NA,NA,NA,NA,NA,705,250,955,61.3,26,11,37,3.2,225,19.57,225,19.57,1,0,0,1,0,0,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,18,0,0,0,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,468,78,77,0,7,0,0,0,7,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,167,98.6,0,11156,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,0,0,0,0,9,0,0,0,68,8677,8556,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,-9,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,302,3,762,3,681,0,0,0,NA,NA,NA,NA,NA,NA,167,9,176,2.2,59,3,62,0.8,122,1.58,271,3.52,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,0,0,0,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,1246700,33086,19133,19,503,39,728,685,1955,2022,0,5,0,14,0,0,0,0,0,0,0,0,0,19,318,144,38,0,0,2,0,1,27,57.83,65616,16924,9787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,942,491,1,0,301,2392,0,7,36,52006,23089,13352,2.6,16,13,29,1,0,5,12,18,1,0,3,7,11,16,3,1,0,9,29,997,135,942,80,55,986,24,15,0,2,11,997,2.43,1.52,0,0.91,NA,NA,NA,NA,NA,NA,NA,22,5,12,7,17,13,4,24,1124,299,1423,940,556,1496,609,222,831,1549,778,2327,7.03,12.16,162.39,42,20,62,92,24973,282,277273,163,124106,2173,65,6493,NA,NA,NA,NA,NA,NA,94817,41805,136622,5,10448,1131,11579,0.6,33877,1.77,50715,2.65,48,79,5,7,48,44,17,4,70,322,172,11,488,0,297,84,63,12,384,8,6,9,17,113,408,272,227,412,1389,2,0,7,6,55,35,28,62,0,0,0,0,17,0,2,15,0,0,0,0,5,8,6,7,0,0,0,0,18,1,7,2,28,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,0,13,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,942,24,15,0,491,301,2392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1549,778,1423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
