Entity,Year,Number of religious priests - absolute figures,Number of religious priests - index numbers (base 2013 = 100),Number of ordinations of religious priests - absolute figures,Number of ordinations of religious priests - index numbers (base 2013 = 100),Number of defections of religious priests - absolute figures,Number of defections of religious priests - index numbers (base 2013 = 100),Number of deaths of religious priests - absolute figures,Number of deaths of religious priests - index numbers (base 2013 = 100),Number of non-priest men religious with temporary vows - absolute figures,Number of non-priest men religious with temporary vows - index numbers (base 2013 = 100),Number of non-priest men religious with perpetual vows - absolute figures,Number of non-priest men religious with perpetual vows - index numbers (base 2013 = 100),Number of seminarians (excluding novices) - absolute figures,Number of seminarians (excluding novices) - index numbers (base 2013 = 100),Number of novices in religious institutes for men - seminarians,Number of novices in religious institutes for men - others,Some significant data about papal-jurisdiction institutes for women - Autonomous Houses,Some significant data about papal-jurisdiction institutes for women - Centralized Institutes,Some significant data about papal-jurisdiction institutes for women - Secular Institutes
Religiosa Instituta,2017,108785,97,2207,947,356,1063,2435,1012,4140,93.4,27325,867,26386,944,5257,1952,NA,NA,NA
Religiosa Instituta,2018,108042,964,2166,929,404,120.6,2382,99,4312,97.3,26717,848,26866,962,5274,1934,NA,NA,NA
Religiosa Instituta,2019,107279,957,2154,924,341,1018,2411,1002,4298,97,26035,826,26699,956,5036,1908,NA,NA,NA
Religiosa Instituta,2020,105257,939,1870,802,401,1197,3186,1325,4487,1013,24916,791,26697,956,4854,1785,NA,NA,NA
Religiosa Instituta,2021,104065,928,2160,927,376,112.2,2935,122,4194,947,24452,776,26150,936,4765,1722,NA,NA,NA
Religiosa Instituta,2022,103362,922,2123,911,326,973,2404,100,4824,1089,23780,754,25073,897,4753,1586,NA,NA,NA
Orders,2017,54342,96,1004,932,172,1398,1,983,1382,99.4,8508,828,13662,964,2360,1077,NA,NA,NA
Orders,2018,53837,951,1000,929,202,164.2,272,965,1565,112.5,8425,82,13583,959,2349,1024,NA,NA,NA
Orders,2019,53407,944,1002,93,175,1423,1271,964,1474,106,8244,803,13351,942,2254,1023,NA,NA,NA
Orders,2020,52311,924,824,765,148,1203,1614,1224,1600,115,7845,764,13562,957,2038,977,NA,NA,NA
Orders,2021,51405,908,894,83,171,139,1550,1175,1354,973,7957,775,13223,933,2050,950,NA,NA,NA
Orders,2022,50888,899,879,816,134,1089,1246,945,2026,1457,7738,753,12379,874,2052,834,NA,NA,NA
Canonicorum regularium,2017,1781,94,23,92,2,50,45,1364,11,36.7,150,98,321,958,104,7,NA,NA,NA
Canonicorum regularium,2018,1773,936,35,140,2,50,36,1091,9,30,140,915,294,878,110,6,NA,NA,NA
Canonicorum regularium,2019,1765,932,40,160,4,100,49,1485,10,333,131,856,282,842,134,8,NA,NA,NA
Canonicorum regularium,2020,1723,91,21,84,12,300,53,1606,7,233,128,837,276,824,143,4,NA,NA,NA
Canonicorum regularium,2021,1697,896,26,104,6,150,32,97,8,267,126,824,284,848,122,6,NA,NA,NA
Canonicorum regularium,2022,1669,881,24,96,4,100,42,1273,16,533,111,725,278,83,132,8,NA,NA,NA
Monachorum,2017,6391,927,101,771,14,583,160,988,523,122.5,2842,834,1940,1111,170,505,NA,NA,NA
Monachorum,2018,6279,911,81,618,15,62.5,149,877,408,95.6,2960,869,1985,1137,154,497,NA,NA,NA
Monachorum,2019,6272,91,96,733,12,50,141,87,370,867,2888,847,2018,1156,139,495,NA,NA,NA
Monachorum,2020,6103,885,46,351,13,542,185,1142,397,93,2816,826,2001,1146,134,491,NA,NA,NA
Monachorum,2021,5984,868,82,626,17,70.8,138,852,379,888,2849,836,2009,1151,140,451,NA,NA,NA
Monachorum,2022,5900,856,66,504,13,542,147,907,388,909,2923,858,1758,1007,163,381,NA,NA,NA
Mendicantium,2017,32223,97,629,917,106,1472,696,941,848,91.2,4268,827,8073,945,1178,551,NA,NA,NA
Mendicantium,2018,31993,963,617,899,197,176.4,649,876,1148,123.4,4127,799,7984,946,1135,515,NA,NA,NA
Mendicantium,2019,31703,955,608,886,112,1556,717,969,1062,1142,4087,792,7761,92,1168,485,NA,NA,NA
Mendicantium,2020,31148,938,559,815,79,1097,874,1181,1166,1254,3877,751,7899,936,1001,474,NA,NA,NA
Mendicantium,2021,30684,924,553,806,103,143.1,883,1193,944,1015,4012,777,7591,90,1093,449,NA,NA,NA
Mendicantium,2022,30448,917,566,825,81,1125,689,931,1619,1741,3755,727,7047,835,1026,390,NA,NA,NA
Clericorum regularium,2017,13947,955,251,1068,50,2174,396,1031,0,0,1248,807,3328,912,908,14,NA,NA,NA
Clericorum regularium,2018,13792,944,6,1136,58,252.2,447,1164,0,0,1198,774,3320,91,941,6,NA,NA,NA
Clericorum regularium,2019,13667,936,258,1098,47,2043,361,948,32,800,1138,736,3290,902,813,35,NA,NA,NA
Clericorum regularium,2020,13337,913,198,843,44,1913,502,1307,30,750,1024,662,3386,928,760,8,NA,NA,NA
Clericorum regularium,2021,13040,893,233,991,45,195.7,497,1294,23,575,970,627,3339,915,695,44,NA,NA,NA
Clericorum regularium,2022,12871,881,223,949,36,1565,368,958,3,75,949,613,3296,903,731,55,NA,NA,NA
Congregationes religiosorum clericalium,2017,53866,98,1182,957,181,858,1131,1046,797,91,6357,86,12655,924,2870,176,NA,NA,NA
Congregationes religiosorum clericalium,2018,53622,976,1158,938,202,95.7,1101,1019,749,85.5,6177,835,13209,965,2896,221,NA,NA,NA
Congregationes religiosorum clericalium,2019,53295,97,1140,923,164,777,1129,1044,777,887,5971,807,13260,968,2751,275,NA,NA,NA
Congregationes religiosorum clericalium,2020,52371,953,1030,834,250,1185,1563,1446,773,882,5734,775,13055,953,2802,197,NA,NA,NA
Congregationes religiosorum clericalium,2021,52083,948,1263,1023,205,97.2,1379,1276,746,852,5502,744,12857,939,2701,188,NA,NA,NA
Congregationes religiosorum clericalium,2022,52897,963,1238,1002,191,905,1150,1064,724,826,5365,725,12649,924,2688,169,NA,NA,NA
Congregationes religiosorum laicalium,2017,577,1012,21,1105,3,300,7,140,1961,90.6,12460,90,69,92,27,699,NA,NA,NA
Congregationes religiosorum laicalium,2018,583,1023,8,421,0,0,8,160,1998,92.3,12115,875,74,987,29,689,NA,NA,NA
Congregationes religiosorum laicalium,2019,577,1012,12,632,2,200,11,220,2047,946,11820,853,88,1173,31,610,NA,NA,NA
Congregationes religiosorum laicalium,2020,575,1009,16,842,3,300,9,180,2114,977,11337,818,80,1067,14,611,NA,NA,NA
Congregationes religiosorum laicalium,2021,577,1012,3,158,0,0,6,120,2094,968,10993,794,70,933,14,584,NA,NA,NA
Congregationes religiosorum laicalium,2022,577,1012,6,316,1,100,8,160,2074,958,10677,771,45,60,13,583,NA,NA,NA
Societates vitae apostolicae,2017,13654,992,261,856,41,1708,322,1039,299,75.7,661,62,1852,955,1877,64,NA,NA,NA
Societates vitae apostolicae,2018,13769,1001,291,954,41,200,312,1006,297,75.2,642,602,1889,974,1833,50,NA,NA,NA
Societates vitae apostolicae,2019,13740,999,314,103,33,1375,322,1039,319,808,605,568,1937,999,1484,51,NA,NA,NA
Societates vitae apostolicae,2020,13587,988,281,921,36,150,422,1361,319,808,574,538,1980,1021,1261,58,NA,NA,NA
Societates vitae apostolicae,2021,13390,973,260,852,57,237.5,381,1229,310,785,536,503,1937,999,1247,48,NA,NA,NA
Societates vitae apostolicae,2022,13344,97,268,879,56,2333,334,1077,312,79,517,485,1980,1021,1058,43,NA,NA,NA
Total,2017,122439,973,2468,936,397,1106,2757,1015,4439,92,27986,859,28238,945,7134,2016,NA,NA,NA
Total,2018,121811,968,2457,932,452,125.9,2694,992,4609,95.5,27359,84,28755,962,7107,1984,NA,NA,NA
Total,2019,121019,961,2468,936,374,1042,2733,1007,4617,957,26640,818,28636,958,6520,1959,NA,NA,NA
Total,2020,118844,944,2151,816,437,1217,3608,1329,4806,996,25490,782,28677,96,6115,1843,NA,NA,NA
Total,2021,117455,933,2420,918,433,120.6,3316,1221,4504,933,24988,767,28087,94,6012,1770,NA,NA,NA
Total,2022,116706,927,2391,907,382,1064,2738,1098,5136,1064,24297,746,27053,905,5811,1629,NA,NA,NA
Postulants,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1597,13101,NA
Postulants,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1666,13374,NA
Postulants,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1609,13399,NA
Postulants,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1628,13173,NA
Postulants,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1584,12598,NA
Postulants,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1504,12025,NA
Novices,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1583,11167,NA
Novices,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1486,11142,NA
Novices,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1447,11009,NA
Novices,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1368,10955,NA
Novices,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1329,10809,NA
Novices,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1296,10496,NA
Professed religious with temporary vows,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2696,34822,NA
Professed religious with temporary vows,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2721,33796,NA
Professed religious with temporary vows,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2669,33497,NA
Professed religious with temporary vows,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2738,33707,NA
Professed religious with temporary vows,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2749,33195,NA
Professed religious with temporary vows,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2670,32614,NA
Professed religious with perpetual vows,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36064,413239,NA
Professed religious with perpetual vows,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35259,404284,NA
Professed religious with perpetual vows,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34666,395346,NA
Professed religious with perpetual vows,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33909,384288,NA
Professed religious with perpetual vows,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33557,374779,NA
Professed religious with perpetual vows,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32913,365439,NA
Temporary professions,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,737,5058,NA
Temporary professions,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,717,4767,NA
Temporary professions,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,534,4751,NA
Temporary professions,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588,4941,NA
Temporary professions,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,522,4708,NA
Temporary professions,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,493,4630,NA
Perpetual professions,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323,4349,NA
Perpetual professions,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329,4125,NA
Perpetual professions,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,3770,NA
Perpetual professions,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285,3670,NA
Perpetual professions,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267,3763,NA
Perpetual professions,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,3530,NA
